id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
5166,OIIE,large_airport,"Imam Khomeini International Airport",35.416099548339844,51.152198791503906,3305,AS,Iran,IR,"Tehran Province",IR-23,23,Tehran,1,OIIE,IKA,,http://www.ikia.ir/,https://en.wikipedia.org/wiki/Imam_Khomeini_International_Airport,Ahmadabad,1200,2008-06-13T14:30:04+00:00
5168,OIII,large_airport,"Mehrabad International Airport",35.68920135498047,51.31340026855469,3962,AS,Iran,IR,"Tehran Province",IR-23,23,Tehran,1,OIII,THR,,,https://en.wikipedia.org/wiki/Mehrabad_International_Airport,,1200,2008-06-13T14:30:04+00:00
5197,OISS,large_airport,"Shiraz Shahid Dastghaib International Airport",29.5392,52.589802,4927,AS,Iran,IR,"Fars Province",IR-07,07,Shiraz,1,OISS,SYZ,,http://shirazairport.ir/,https://en.wikipedia.org/wiki/Shiraz_International_Airport,,1200,2022-11-20T21:49:09+00:00
5183,OIMM,large_airport,"Mashhad International Airport",36.235198974609375,59.64099884033203,3263,AS,Iran,IR,"Razavi Khorasan Province",IR-09,09,Mashhad,1,OIMM,MHD,,,https://en.wikipedia.org/wiki/Mashhad_International_Airport,"Shahid Hashemi Nejad Airport",1200,2009-03-25T08:12:12+00:00
5156,OIFM,medium_airport,"Isfahan Shahid Beheshti International Airport",32.750755,51.861483,5059,AS,Iran,IR,"Isfahan Province",IR-10,10,Isfahan,1,OIFM,IFN,,,https://en.wikipedia.org/wiki/Isfahan_International_Airport,Esfahan,750,2022-11-20T12:54:45+00:00
5204,OITT,medium_airport,"Tabriz International Airport",38.1339,46.235001,4459,AS,Iran,IR,"East Azerbaijan Province",IR-03,03,Tabriz,1,OITT,TBZ,,http://www.tabrizairport.ir/,https://en.wikipedia.org/wiki/Tabriz_International_Airport,IRIAF,750,2021-11-21T15:50:17+00:00
5174,OIKK,medium_airport,"Ayatollah Hashemi Rafsanjani International Airport",30.271276,56.949692,5741,AS,Iran,IR,"Kerman Province",IR-08,08,Kerman,1,OIKK,KER,,,https://en.wikipedia.org/wiki/Ayatollah_Hashemi_Rafsanjani_Airport,,750,2022-11-20T22:36:53+00:00
5137,OIAW,medium_airport,"Lieutenant General Qasem Soleimani International Airport",31.3374,48.762001,66,AS,Iran,IR,"Khuzestan Province",IR-06,06,Ahvaz,1,OIAW,AWZ,,,https://en.wikipedia.org/wiki/Ahvaz_International_Airport,"Ahvaz, Ahvaz International Airport, Ahwaz",750,2021-03-08T17:03:25+00:00
5172,OIKB,medium_airport,"Bandar Abbas International Airport",27.218299865722656,56.37779998779297,22,AS,Iran,IR,"Hormozgan Province",IR-22,22,"Bandar Abbas",1,OIKB,BND,,,https://en.wikipedia.org/wiki/Bandar_Abbas_International_Airport,,750,2008-06-13T14:30:04+00:00
5206,OIYY,medium_airport,"Shahid Sadooghi Airport",31.9048995972,54.2765007019,4054,AS,Iran,IR,"Yazd Province",IR-21,21,Yazd,1,OIYY,AZD,,,https://en.wikipedia.org/wiki/Shahid_Sadooghi_Airport,,750,2010-08-30T18:51:30+00:00
5130,OIAA,medium_airport,"Abadan Airport",30.367887,48.230075,10,AS,Iran,IR,"Khuzestan Province",IR-06,06,Abadan,1,OIAA,ABD,,,https://en.wikipedia.org/wiki/Abadan_Airport,,750,2021-03-03T17:23:58+00:00
5139,OIBB,medium_airport,"Bushehr Airport",28.9447994232,50.8345985413,68,AS,Iran,IR,"Bushehr Province",IR-18,18,Bushehr,1,OIBB,BUZ,,,https://en.wikipedia.org/wiki/Bushehr_Airport,,750,2010-08-30T18:44:40+00:00
5143,OIBK,medium_airport,"Kish International Airport",26.5261993408,53.980201721200004,101,AS,Iran,IR,"Hormozgan Province",IR-22,22,"Kish Island",1,OIBK,KIH,,,https://en.wikipedia.org/wiki/Kish_Airport,,750,2010-08-30T13:02:43+00:00
5209,OIZH,medium_airport,"Zahedan International Airport",29.47570037841797,60.90620040893555,4564,AS,Iran,IR,"Sistan and Baluchestan Province",IR-11,11,Zahedan,1,OIZH,ZAH,,,https://en.wikipedia.org/wiki/Zahedan_International_Airport,,750,2008-06-13T14:30:04+00:00
5149,OICC,medium_airport,"Shahid Ashrafi Esfahani Airport",34.3459014893,47.1581001282,4307,AS,Iran,IR,"Kermanshah Province",IR-05,05,Kermanshah,1,OICC,KSH,,,https://en.wikipedia.org/wiki/Shahid_Ashrafi_Esfahani_Airport,,750,2010-08-30T18:50:18+00:00
5178,OIKR,medium_airport,"Rafsanjan Airport",30.298345,56.048979,5298,AS,Iran,IR,"Kerman Province",IR-08,08,Rafsanjan,1,OIKR,RJN,,,https://en.wikipedia.org/wiki/Rafsanjan_Airport,,750,2022-03-17T17:00:32+00:00
5159,OIGG,medium_airport,"Sardar-e-Jangal Airport",37.323333,49.617778,-40,AS,Iran,IR,"Gilan Province",IR-01,01,Rasht,1,OIGG,RAS,,http://rasht.airport.ir/HomePage.aspx?site=rasht.airport&lang=fa-IR&tabid=0,https://en.wikipedia.org/wiki/Rasht_Airport,,750,2012-12-12T10:16:02+00:00
5138,OIBA,medium_airport,"Abu Musa Island Airport",25.8757,55.033001,23,AS,Iran,IR,"Hormozgan Province",IR-22,22,"Abu Musa",1,OIBA,AEU,,,https://en.wikipedia.org/wiki/Abu_Musa_Airport,,500,2019-02-16T12:07:15+00:00
5171,OIIP,medium_airport,"Payam Karaj International Airport",35.7761,50.826698,4170,AS,Iran,IR,"Alborz Province",IR-30,30,Karaj,1,OIIP,PYK,,,https://en.wikipedia.org/wiki/Payam_International_Airport,,500,2022-06-28T12:52:26+00:00
5188,OING,medium_airport,"Gorgan Airport",36.909400939899996,54.4012985229,-24,AS,Iran,IR,"Golestan Province",IR-27,27,Gorgan,0,OING,GBT,,,https://en.wikipedia.org/wiki/Gorgan_Airport,,250,2010-08-30T18:46:28+00:00
5163,OIIA,small_airport,"Qazvin Azadi Airport",35.952099,50.450802,3769,AS,Iran,IR,"Qazvin Province",IR-26,26,"Gharpuz Abad",0,OIIA,,,,https://en.wikipedia.org/wiki/Qazvin-Azadi_Airport,,50,2024-05-18T21:15:19+00:00
5200,OITL,medium_airport,"Ardabil Airport",38.3256988525,48.4244003296,4315,AS,Iran,IR,"Ardabil Province",IR-24,24,Ardabil,1,OITL,ADU,,,https://en.wikipedia.org/wiki/Ardabil_Airport,,750,2010-08-30T13:02:12+00:00
5144,OIBL,medium_airport,"Bandar Lengeh International Airport",26.532283,54.82484,67,AS,Iran,IR,"Hormozgan Province",IR-22,22,"Bandar Lengeh",1,OIBL,BDH,,,https://en.wikipedia.org/wiki/Bandar_Lengeh_Airport,,750,2022-01-28T14:39:36+00:00
5180,OIMB,medium_airport,"Birjand International Airport",32.896525,59.281258,4952,AS,Iran,IR,"South Khorasan Province",IR-29,29,Birjand,1,OIMB,XBJ,,,https://en.wikipedia.org/wiki/Birjand_Airport,,750,2021-10-15T17:12:37+00:00
5190,OINN,medium_airport,"Nowshahr Airport",36.664286,51.46273,-61,AS,Iran,IR,"Mazandaran Province",IR-02,02,Nowshahr,1,OINN,NSH,,,https://en.wikipedia.org/wiki/Noshahr_Airport,Noshahr,750,2022-01-04T04:09:55+00:00
5192,OINZ,medium_airport,"Sari Dasht-e Naz International Airport",36.644408,53.188761,35,AS,Iran,IR,"Mazandaran Province",IR-02,02,Sari,1,OINZ,SRY,,,https://en.wikipedia.org/wiki/Dasht-e_Naz_Airport,,750,2021-04-27T16:22:16+00:00
5203,OITR,medium_airport,"Urmia Airport",37.6680984497,45.0686988831,4343,AS,Iran,IR,"West Azerbaijan Province",IR-04,04,Urmia,1,OITR,OMH,,,https://en.wikipedia.org/wiki/Urmia_Airport,,750,2010-08-30T13:04:12+00:00
5131,OIAD,medium_airport,"Dezful Airport",32.434399,48.397598,474,AS,Iran,IR,"Khuzestan Province",IR-06,06,Dezful,1,OIAD,DEF,,,https://en.wikipedia.org/wiki/Dezful_Airport,"Vahdati Air Base",500,2021-07-31T16:47:37+00:00
5160,OIHH,medium_airport,"Hamadan Airport",34.869202,48.552502,5755,AS,Iran,IR,"Hamadan Province",IR-13,13,Hamadan,1,OIHH,HDM,,,https://en.wikipedia.org/wiki/Hamadan_International_Airport,,500,2024-05-17T08:21:50+00:00
5145,OIBP,medium_airport,"Persian Gulf International Airport",27.379601,52.737701,27,AS,Iran,IR,"Bushehr Province",IR-18,18,Khiyaroo,1,OIBP,PGU,,,https://en.wikipedia.org/wiki/Persian_Gulf_Airport,"Asalouyeh, Khalije Fars, PSEEZ, Bandar Asalouyeh, Pars-Special-Zone, عسلویه",500,2022-11-20T19:24:56+00:00
5196,OISR,medium_airport,"Lamerd Airport",27.3727,53.188801,1337,AS,Iran,IR,"Fars Province",IR-07,07,Lamerd,1,OISR,LFM,,,https://en.wikipedia.org/wiki/Lamerd_Airport,,500,2021-07-31T16:52:11+00:00
5150,OICI,medium_airport,"Ilam Airport",33.58660125732422,46.40480041503906,4404,AS,Iran,IR,"Iiam Province",IR-16,16,Ilam,0,OICI,IIL,,,https://en.wikipedia.org/wiki/Ilam_Airport,,250,2008-06-13T14:30:04+00:00
5173,OIKJ,medium_airport,"Jiroft Airport",28.723519,57.675037,2663,AS,Iran,IR,"Kerman Province",IR-08,08,Jiroft,0,OIKJ,JYR,,,https://en.wikipedia.org/wiki/Jiroft_Airport,Sabzevaran,250,2022-03-17T17:01:59+00:00
